GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "41000","Oregon",8,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",7832186,8537112,9382814,10511429,11845440,13431788,14919665,16821714,18812438,21563442,24389914,27037638,29153824,29990192,31912923,34539865,36298355,38195548,40028834,43729905,48034370,51924984,54721664,58422080,62515825,66933205,72043802,77668514,82276640,86877803,89931392,96913747,99785736,101042146,104729621,110580697,116073359,126600112,132605592,138899921,134391819,137926267,145345124,152601501,154851248,165171917,177478055,186104953,197262336,210044887,219982662,239862474,262382376,264173844
 "41000","Oregon",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",7608984,8323854,9181464,10255526,11478745,12959935,14533017,16460900,18502096,21255848,24010489,26570127,28757991,29706445,31621757,34149213,35882655,37657475,39527713,43044033,47381813,51241849,54030130,57731505,61706347,66195759,71402621,76875201,81368366,86066074,89173858,96156927,99017838,100268458,103667761,109388604,114896289,125336351,131366119,137697319,133371619,136973191,144153422,151288410,153339211,163721888,175818388,184503085,196109674,208822688,218809093,238474430,260983984,262731674
 "41000","Oregon",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",223202,213258,201350,255903,366695,471853,386648,360814,310342,307594,379425,467511,395833,283747,291166,390652,415700,538073,501121,685872,652557,683135,691534,690575,809478,737446,641181,793313,908274,811729,757534,756820,767898,773688,1061860,1192093,1177070,1263761,1239473,1202602,1020200,953076,1191702,1313091,1512037,1450029,1659667,1601868,1152662,1222199,1173569,1388044,1398392,1442170
 "41000","Oregon",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837611,3872655,3900071,3924064,3965387,4018466,4093179,4147186,4183414,4215976,4244795,4256301,4240137
 "41000","Oregon",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9460,10237,10927,11254,12029,12953,13581,14233,14820,15952,17213,18153,18686,19528,20428,21444,22624,23919,24900,25915,26498,28257,28774,28759,29523,30980,32125,34488,35624,36856,35286,35941,37531,39128,39462,41653,44166,45467,47565,50209,52178,56507,61646,62303
 "41000","Oregon",8,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",6451132,6820919,7436758,8424168,9547742,10650830,11446752,13099136,14778338,17108354,19383962,20793402,21578295,21368509,22543438,24707450,26037285,27743866,29649019,32817237,35571130,38896205,40985069,44088746,47210961,50731563,53961431,58664779,63045723,67000387,70515926,76476184,77901978,78905274,81772378,86845383,91537854,98735902,102238122,103219309,97650217,99600403,103621439,109350438,113186077,118923010,127338274,134141547,142240444,151291613,159184930,164578004,180026304,190336242
 "41000","Oregon",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",481639,504549,568523,679157,879530,1002415,1056493,1234226,1420375,1692653,1986729,2126674,2368934,2402861,2558039,2890156,3070160,3250533,3437803,3930997,4271754,4791442,5106449,5459133,5830201,6321839,6789293,7451883,7909560,8365892,8725945,9417230,9449281,9627753,9950888,10655266,11250554,12031212,12536955,12706443,12192851,12550964,11569018,12112222,14202406,15042446,15901595,16633710,17836732,18599813,19590876,20018638,22950446,24898034
 "41000","Oregon",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",213020,224787,250587,294686,381029,438857,467851,526282,602915,708248,835185,906541,1024672,1054962,1108318,1219213,1351988,1455652,1567906,1821112,2035545,2285773,2461834,2606651,2771280,3016495,3254116,3474714,3718687,3930829,4132997,4404028,4500813,4599729,4719582,5027310,5402491,5871811,6183712,6314123,6059296,6157806,5079112,5274004,7014144,7470987,7957296,8398411,9008711,9565154,10164705,10474118,12378874,13636014
 "41000","Oregon",8,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",268619,279762,317936,384471,498501,563558,588642,707944,817460,984405,1151544,1220133,1344262,1347899,1449721,1670943,1718172,1794881,1869897,2109885,2236209,2505669,2644615,2852482,3058921,3305344,3535177,3977169,4190873,4435063,4592948,5013202,4948468,5028024,5231306,5627956,5848063,6159401,6353243,6392320,6133555,6393158,6489906,6838218,7188262,7571459,7944299,8235299,8828021,9034659,9426171,9544520,10571572,11262020
 "41000","Oregon",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-82114,-62621,-51560,-45092,-50145,-58141,-31127,-15348,-74227,-127911,-177529,-217995,-268456,-257869,-246265,-285586,-314956,-370778,-433401,-501016,-561788,-618066,-682910,-779518,-874978,-941139,-1119283,-1354772,-1540332,-1663632,-1757016,-1998797,-2110990,-2189172,-2366127,-2591999,-2883256,-3274117,-3545384,-3666642,-3489867,-3370367,-3702406,-3913393,-3905863,-3886591,-4140229,-4527095,-4731829,-5114333,-5467864,-5990037,-6351272,-7168124
 "41000","Oregon",8,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",5887379,6253749,6816675,7699919,8618067,9590274,10359132,11849562,13283736,15287790,17219704,18448733,18940905,18707779,19739134,21531708,22652169,24122555,25777815,28385224,30737588,33486697,35195710,37850095,40505782,43468585,46052855,49858124,53595831,56970863,60032965,65060157,66341707,67088349,69455363,73598118,77404044,83430573,86155783,86846224,81967499,83679072,88350015,93324823,95077808,99993973,107296450,112980742,119671883,127577467,134126190,138569329,150724586,158270084
 "41000","Oregon",8,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",1282718,1478707,1633995,1789065,2014736,2345680,2659633,2901014,3289530,3831403,4429953,5332778,6445611,7035749,7610143,8294956,8714975,9052990,9053864,9813559,11213413,11823451,12200850,12421465,13305955,14428167,15979903,17158380,17717996,18508237,17492237,18804216,18791638,18132975,19015236,20252934,21000342,24165114,26029006,28343199,25343237,24965472,27308541,29617561,29021964,31534990,34295701,36143897,39435622,42021923,43014685,44335883,48851668,50824175
 "41000","Oregon",8,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",662089,804656,932144,1022445,1212637,1495834,1900900,2071138,2239172,2444249,2740257,3256127,3767308,4246664,4563646,4713201,4931211,5020003,5197155,5531122,6083369,6614836,7325104,8150520,8704088,9036453,10011044,10652010,10962813,11398703,12406190,13049374,14652391,15820822,16259022,16729645,17668973,19004425,20420803,23710498,27081083,29281723,29686568,29659117,30751476,33642954,35885904,36980314,38154831,40445497,42841787,56957262,62806122,55079585
 "41000","Oregon",8,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",4867891,5171189,5607998,6289418,7092135,7840080,8431015,9596898,10914604,12625323,14329989,15354951,16054435,15971955,16615362,17978070,18854384,19914787,21335539,23435321,25408235,27653906,28980447,30906900,32842772,35408538,38340754,41679478,45225579,47926280,50950564,55205663,55728283,55853259,57246646,60498695,64329116,68963196,72686588,73776986,69789201,70864510,73913575,77113080,80131781,85061069,91061601,95882084,101333595,107247100,112996178,115834990,126325259,135183634
 "41000","Oregon",8,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",637273,696032,801766,951515,1106283,1255999,1440471,1673462,1990241,2350700,2715501,2949836,3193179,3326328,3612070,3983499,4301566,4658383,4958835,5513460,6166324,6876848,7413951,8325405,8849894,9406545,9791789,10527747,11029834,11707717,12171219,13542037,14318377,14620295,15395627,16242165,16929974,18029242,18850005,19168682,18935705,18785938,19074376,20553084,20862482,21038903,22125235,22905534,24538881,26247948,27645252,28547721,31015477,31913044
 "41000","Oregon",8,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",368654,416270,483830,567044,607782,692441,851829,965518,1172781,1366295,1563957,1729703,1848917,1978429,2162349,2312556,2583394,2863502,3088938,3403575,3930115,4371179,4769336,5472923,5790973,6101201,6256612,6550578,6838961,7272654,7578271,8528835,9369909,9592271,10164321,10614209,11081911,11869841,12496762,12776362,12802150,12392780,12584470,13714866,13674220,13467444,14180936,14670235,15710860,17213289,18219081,19003201,20443905,20651024
 "41000","Oregon",8,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",268619,279762,317936,384471,498501,563558,588642,707944,817460,984405,1151544,1220133,1344262,1347899,1449721,1670943,1718172,1794881,1869897,2109885,2236209,2505669,2644615,2852482,3058921,3305344,3535177,3977169,4190873,4435063,4592948,5013202,4948468,5028024,5231306,5627956,5848063,6159401,6353243,6392320,6133555,6393158,6489906,6838218,7188262,7571459,7944299,8235299,8828021,9034659,9426171,9544520,10571572,11262020
 "41000","Oregon",8,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",945968,953698,1026994,1183235,1349324,1554751,1575266,1828776,1873493,2132331,2338472,2488615,2330681,2070226,2316006,2745881,2881335,3170696,3354645,3868456,3996571,4365451,4590671,4856441,5518295,5916480,5828888,6457554,6790310,7366390,7394143,7728484,7855318,8431720,9130105,10104523,10278764,11743464,10701529,10273641,8925311,9949955,10633488,11684274,12191814,12823038,14151438,15353929,16367968,17796565,18543500,20195293,22685568,23239564
 "41000","Oregon",8,CAINC4,71,"..."," Farm proprietors' income ","Thousands of dollars",139157,125725,116515,176846,265213,367801,257170,226801,141558,144622,200367,279700,212490,77295,89074,186923,204052,335500,293921,443287,382014,351304,357067,368086,452333,355016,191494,274624,353367,225629,97803,85203,93196,142372,411930,478421,351192,449591,297940,298823,5003,64951,303450,437154,537346,508906,873149,699578,146132,222358,321523,326764,231532,486482
 "41000","Oregon",8,CAINC4,72,"..."," Nonfarm proprietors' income ","Thousands of dollars",806811,827973,910479,1006389,1084111,1186950,1318096,1601975,1731935,1987709,2138105,2208915,2118191,1992931,2226932,2558958,2677283,2835196,3060724,3425169,3614557,4014147,4233604,4488355,5065962,5561464,5637394,6182930,6436943,7140761,7296340,7643281,7762122,8289348,8718175,9626102,9927572,11293873,10403589,9974818,8920308,9885004,10330038,11247120,11654468,12314132,13278289,14654351,16221836,17574207,18221977,19868529,22454036,22753082
 "41000","Oregon",8,CAINC4,7010,"...","Total employment ","Number of jobs",920183,925933,950552,1001074,1058290,1089196,1105316,1156014,1222672,1296308,1349641,1349543,1319241,1269532,1295260,1341925,1370436,1405810,1454698,1521518,1574429,1626385,1635517,1653649,1697791,1780620,1845372,1919606,1986426,2021755,2051144,2092153,2079058,2062116,2076549,2132996,2196901,2256440,2307311,2288774,2189199,2174333,2201553,2219981,2260337,2323439,2391179,2450390,2515986,2570069,2579279,2493432,2559698,2658285
 "41000","Oregon",8,CAINC4,7020,"..."," Wage and salary employment ","Number of jobs",764276,767695,784315,826981,877162,902238,909769,946131,1005243,1075080,1118428,1101896,1074726,1018865,1026281,1067712,1091537,1119800,1162154,1220357,1273978,1315246,1312846,1329504,1371234,1430687,1486827,1544301,1594068,1624801,1653048,1684455,1672920,1646862,1655691,1692705,1735880,1783173,1805515,1789258,1686875,1676391,1696337,1717538,1750645,1799453,1851805,1901816,1949114,1990003,2016561,1902029,1949998,2008171
 "41000","Oregon",8,CAINC4,7040,"..."," Proprietors employment ","Number of jobs",155907,158238,166237,174093,181128,186958,195547,209883,217429,221228,231213,247647,244515,250667,268979,274213,278899,286010,292544,301161,300451,311139,322671,324145,326557,349933,358545,375305,392358,396954,398096,407698,406138,415254,420858,440291,461021,473267,501796,499516,502324,497942,505216,502443,509692,523986,539374,548574,566872,580066,562718,591403,609700,650114
 "41001","Baker, OR",8,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",49098,55129,62304,71145,74242,78192,86523,95439,104014,113483,137927,145195,155066,156943,166500,168972,169866,171401,176161,192162,210114,223596,232674,243625,263997,273748,287742,296444,321628,329294,321548,342351,337701,340932,354199,366858,378863,396352,415525,440589,456405,462786,483468,503750,523306,553902,581612,601281,605456,642948,671900,749023,812491,824298
 "41001","Baker, OR",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",43500,48567,56464,62496,64148,70753,81339,89877,98415,113208,126362,136016,147695,153503,165290,170686,172501,173425,175861,188960,206669,221294,230205,241231,258531,273080,289347,301330,316129,328668,325446,340990,340814,341766,350043,360662,372765,391185,414163,441713,454739,467985,483947,498175,503973,532839,560769,582031,599735,631998,660503,733704,798852,802677
 "41001","Baker, OR",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",5598,6562,5840,8649,10094,7439,5184,5562,5599,275,11565,9179,7371,3440,1210,-1714,-2635,-2024,300,3202,3445,2302,2469,2394,5466,668,-1605,-4886,5499,626,-3898,1361,-3113,-834,4156,6196,6098,5167,1362,-1124,1666,-5199,-479,5575,19333,21063,20843,19250,5721,10950,11397,15319,13639,21621
 "41001","Baker, OR",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",15219,15070,15721,15612,15491,15206,15748,15463,15799,15712,16121,16153,16198,16377,16255,16118,15731,15426,15130,14994,14890,15433,15581,15847,16172,16418,16691,16652,16746,16841,16755,16714,16618,16376,16312,16272,16086,16094,16139,16195,16225,16126,16117,16087,16151,16193,16099,16211,16329,16343,16483,16725,16873,16938
 "41001","Baker, OR",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3226,3658,3963,4557,4793,5142,5494,6172,6584,7223,8556,8989,9573,9583,10243,10483,10798,11111,11643,12816,14111,14488,14933,15374,16324,16674,17239,17802,19206,19553,19191,20483,20321,20819,21714,22545,23552,24627,25747,27205,28130,28698,29997,31314,32401,34206,36127,37091,37079,39341,40763,44785,48153,48666
